transaction_id,amount,payment_method,failure_reason,customer_attempts,hour,recovery_probability,recovered
TXN00001,15895,UPI,Insufficient Funds,5,15,0.2623549975499193,0
TXN00002,960,Netbanking,Network Error,1,21,0.5749873535369816,1
TXN00003,38258,Wallet,Authentication Failed,2,5,0.3257558525687393,0
TXN00004,44832,Netbanking,Insufficient Funds,2,2,0.45465047140868875,0
TXN00005,11384,Wallet,Timeout,1,1,0.9705855472742234,1
TXN00006,6365,Card,Bank Declined,2,1,0.5521508201901264,0
TXN00007,16950,Card,Bank Declined,1,12,0.25804020697613683,1
TXN00008,37294,Card,Bank Declined,1,8,0.6340009334341858,0
TXN00009,22062,Netbanking,Timeout,3,15,0.5381560961158799,1
TXN00010,47291,Card,Insufficient Funds,4,4,0.6491476327139084,0
TXN00011,44231,UPI,Timeout,2,22,0.6042747038215291,1
TXN00012,16123,Wallet,Bank Declined,2,20,0.33498772625957196,1
TXN00013,41190,Wallet,Authentication Failed,3,6,0.33377393588380144,1
TXN00014,1785,UPI,Network Error,3,12,0.8381349265048122,1
TXN00015,869,Netbanking,Timeout,3,19,0.4859113188151519,1
TXN00016,2533,Netbanking,Timeout,5,23,0.837063375911456,1
TXN00017,5411,Wallet,Insufficient Funds,5,12,0.19412111753661956,0
TXN00018,37919,Card,Insufficient Funds,5,6,0.2751804580909165,1
TXN00019,39288,Netbanking,Timeout,1,9,0.6258408807077895,1
TXN00020,17668,Netbanking,Bank Declined,2,14,0.8602370947854154,1
TXN00021,19869,UPI,Network Error,4,20,0.9522119973276771,1
TXN00022,28793,UPI,Insufficient Funds,1,5,0.1948103127956015,0
TXN00023,6496,Card,Bank Declined,2,4,0.45075332887015096,0
TXN00024,27580,Netbanking,Authentication Failed,2,22,0.3045795719176406,0
TXN00025,41534,Netbanking,Insufficient Funds,3,1,0.40698955551944793,1
TXN00026,25758,UPI,Bank Declined,3,20,0.5224077854862665,1
TXN00027,19042,Netbanking,Bank Declined,1,14,0.8305321137155126,0
TXN00028,18531,Wallet,Network Error,3,15,0.9510037644537507,0
TXN00029,2847,UPI,Network Error,2,18,0.5684971737051044,1
TXN00030,289,Card,Authentication Failed,3,8,0.5442165601132927,1
TXN00031,19218,UPI,Bank Declined,5,21,0.8273653744022931,1
TXN00032,35873,Netbanking,Bank Declined,3,18,0.764695465421543,1
TXN00033,1999,Card,Network Error,2,6,0.3025594179412545,0
TXN00034,1367,UPI,Insufficient Funds,1,3,0.2740416949285077,1
TXN00035,31651,Wallet,Insufficient Funds,4,2,0.34524196935528817,0
TXN00036,11494,Wallet,Timeout,3,23,0.4608013985782622,1
TXN00037,3656,UPI,Network Error,2,19,0.4397001311271571,0
